SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
ACCELYA,EQ,923,928.4,896,901,896,923.75,10835,9826125.7,03-MAY-2021,1152,INE793A01012,
ACCURACY,EQ,61.85,61.9,58.5,59.3,58.75,59.15,4283,253563.35,03-MAY-2021,53,INE648Z01015,
ACE,EQ,143.55,148.65,142.95,145.85,146.55,145.35,157204,22884744.75,03-MAY-2021,3089,INE731H01025,
ACRYSIL,EQ,316.1,324.65,313,321.8,322.25,322.5,76147,24214432.95,03-MAY-2021,2581,INE482D01024,
ADANIENT,EQ,1145.1,1264.4,1122.65,1255.55,1255.6,1158.7,11276228,13719455999.25,03-MAY-2021,236879,INE423A01024,
ADANIGREEN,EQ,1015,1044.7,990,1036.5,1039.5,1018.95,324742,334114252.35,03-MAY-2021,19111,INE364U01010,
ADANIPORTS,EQ,727.65,764,713.75,761.4,763,730.05,25953577,19396445476.9,03-MAY-2021,329203,INE742F01042,
ADANIPOWER,EQ,94,97.65,92.05,95.55,95.1,94.75,13412752,1282510721.05,03-MAY-2021,55317,INE814H01011,
ADANITRANS,EQ,1020,1095,1017,1066,1073,1049.9,1266237,1354629826.95,03-MAY-2021,30078,INE931S01010,
ADFFOODS,EQ,960,971.05,933.95,943.6,944.35,944.45,25207,23903008.05,03-MAY-2021,2435,INE982B01019,
ADHUNIKIND,EQ,23.2,25,23.2,24.75,24.95,24.1,59201,1453076.65,03-MAY-2021,325,INE452L01012,
ADL,BE,27.25,28.6,27.25,28.6,28.6,28.25,5151,142730.25,03-MAY-2021,36,INE0CHO01012,
ADORWELD,EQ,384,398.25,380.2,390.15,393,381.65,28819,11186825.4,03-MAY-2021,1441,INE045A01017,
ADROITINFO,EQ,9.65,9.75,9.05,9.7,9.75,9.3,9538,91585.9,03-MAY-2021,75,INE737B01033,
ADSL,EQ,47.95,48.9,47.25,47.65,47.8,47.8,90671,4357724.45,03-MAY-2021,839,INE102I01027,
ADVANIHOTR,EQ,57,57,53.5,54.05,54,55.15,6064,329209.7,03-MAY-2021,111,INE199C01026,
ADVENZYMES,EQ,402.75,464.4,398.15,446.55,447,400.7,4305281,1922178487.25,03-MAY-2021,70719,INE837H01020,
AEGISCHEM,EQ,303,314.7,303,312.8,313,304.2,253261,78507076.45,03-MAY-2021,6256,INE208C01025,
AFFLE,EQ,5471.3,5665,5471.3,5525,5540,5522.95,44379,246989500.15,03-MAY-2021,10787,INE00WC01019,
AGARIND,EQ,153,159.25,153,159.25,159.25,151.7,20418,3226779.6,03-MAY-2021,417,INE204E01012,
AGCNET,EQ,1589.5,1641.75,1525.9,1602.15,1609.9,1588.65,3908,6263890.05,03-MAY-2021,394,INE676A01019,
AGRITECH,EQ,40.7,40.8,39.8,40.7,40.8,38.9,38647,1565826.8,03-MAY-2021,422,INE449G01018,
AGROPHOS,EQ,11.5,12,11.4,11.75,12,11.65,106353,1235792.35,03-MAY-2021,1256,INE740V01019,
AHLADA,EQ,100.35,104.5,95.05,99.2,102.15,97.2,5596,552318.1,03-MAY-2021,205,INE00PV01013,
AHLEAST,EQ,143.65,154.6,143.65,150.6,151.1,146.5,492,73915.1,03-MAY-2021,69,INE926K01017,
AHLUCONT,EQ,281.55,288.95,280.05,283.75,284,284.55,114601,32547540.7,03-MAY-2021,436,INE758C01029,
AHLWEST,EQ,208.15,208.15,201.3,205.4,205.45,203.95,901,184003.65,03-MAY-2021,103,INE915K01010,
AIAENG,EQ,1862,1866,1820.05,1825.45,1826,1862.75,48626,89017834.5,03-MAY-2021,10271,INE212H01026,
AIRAN,EQ,16.25,16.35,15.55,15.95,16.05,16.4,38201,609141.25,03-MAY-2021,278,INE645W01026,
AISL,SM,38.6,42.45,38.6,42.45,42.45,40.55,21600,895200,03-MAY-2021,14,INE635Y01015,
AJANTPHARM,EQ,1845,1899.9,1820,1837.05,1831,1840.1,291335,542116172.95,03-MAY-2021,27838,INE031B01049,
AJMERA,EQ,108.95,112.5,108.75,111.1,110.8,110.95,30729,3404154.55,03-MAY-2021,761,INE298G01027,
AJOONI,SM,35.2,37.15,33.8,36.5,37.15,35.5,53328,1858703,03-MAY-2021,10,INE820Y01013,
AKASH,EQ,189.75,189.75,175,181.3,183.55,186.35,10791,1958625.35,03-MAY-2021,419,INE737W01013,
AKG,EQ,32.4,32.4,32.4,32.4,32.4,30.9,3641,117968.4,03-MAY-2021,41,INE00Y801016,
AKSHARCHEM,EQ,256.95,278.7,256.95,266.8,269.5,260.95,99703,26912940.4,03-MAY-2021,3316,INE542B01011,
AKSHOPTFBR,EQ,5.85,6.5,5.8,6.1,6.05,5.95,376369,2312690.2,03-MAY-2021,594,INE523B01011,
AKZOINDIA,EQ,2235,2260,2212.4,2248.4,2235,2243.15,9700,21754670,03-MAY-2021,2218,INE133A01011,
ALANKIT,EQ,14.3,14.35,13.85,14.25,14.35,14.1,85072,1200813.4,03-MAY-2021,601,INE914E01040,
ALBERTDAVD,EQ,438,444.65,432,439.75,437.15,437.65,12186,5355383.95,03-MAY-2021,745,INE155C01010,
ALCHEM,BZ,3.35,3.65,3.35,3.5,3.5,3.5,6939,23861.7,03-MAY-2021,28,INE964B01033,
ALEMBICLTD,EQ,112.5,126.85,111,124.05,125.45,110.05,9293177,1131028321.95,03-MAY-2021,58892,INE426A01027,
ALICON,EQ,492.05,498,467.5,470.65,470,464.35,85451,41063714.3,03-MAY-2021,2523,INE062D01024,
ALKALI,EQ,54.75,58.3,54.25,57.05,57,55.65,53359,3040084.15,03-MAY-2021,1420,INE773I01017,
ALKEM,EQ,2759.05,2838.9,2750.55,2762,2760.15,2759.05,225471,629976329.25,03-MAY-2021,16999,INE540L01014,
ALKYLAMINE,EQ,8540,8800,8300,8434.6,8450.15,8471.7,119073,1015347485.45,03-MAY-2021,28418,INE150B01021,
ALLCARGO,EQ,122.6,130.15,122.6,125.95,126.5,124.9,495380,62708628.9,03-MAY-2021,9359,INE418H01029,
ALLSEC,EQ,342,352.7,341.1,346.5,347,339.1,43430,15138245.3,03-MAY-2021,1318,INE835G01018,
ALMONDZ,EQ,28.4,29.8,26.9,27.55,27.8,27.6,21303,579330.5,03-MAY-2021,104,INE326B01027,
ALOKINDS,EQ,18.85,19.2,18.8,18.85,18.85,19.3,13156236,248995735.05,03-MAY-2021,19281,INE270A01029,
ALPA,BE,52.2,52.2,52.2,52.2,52.2,54.9,62133,3243342.6,03-MAY-2021,450,INE385I01010,
ALPHAGEO,EQ,221,230,201,226.1,227,219,108741,24425554.55,03-MAY-2021,2967,INE137C01018,
ALPSINDUS,EQ,1.55,1.6,1.5,1.6,1.6,1.55,10697,16853.4,03-MAY-2021,27,INE093B01015,
AMARAJABAT,EQ,785.15,791.45,756.95,782.3,784.55,810.75,2244826,1743760292.15,03-MAY-2021,78872,INE885A01032,
AMBANIORG,SM,53,53,53,53,53,53,2000,106000,03-MAY-2021,1,INE00C501018,
AMBER,EQ,3090,3144.3,3051.05,3114.3,3117,3099.3,23725,73757982.95,03-MAY-2021,4230,INE371P01015,
AMBICAAGAR,EQ,18.3,18.3,18.3,18.3,18.3,17.45,4480,81984,03-MAY-2021,19,INE792B01012,
AMBIKCO,EQ,880,969,876.25,961.4,962.1,900.8,53688,50234667.25,03-MAY-2021,3483,INE540G01014,
AMBUJACEM,EQ,304.5,312.8,301.2,311.65,311.7,309.05,6232670,1920689559.35,03-MAY-2021,52472,INE079A01024,
AMDIND,EQ,18.4,18.4,17.4,18.3,18.35,18.05,36531,666621.25,03-MAY-2021,125,INE005I01014,
AMJLAND,EQ,24.05,25.5,24.05,24.45,24.25,24.55,12630,313982.25,03-MAY-2021,113,INE606A01024,
AMRUTANJAN,EQ,646.85,651.45,635.05,637.6,638,636.4,54037,34710044.55,03-MAY-2021,3995,INE098F01031,
ANANTRAJ,EQ,52.7,54,51.1,52.2,52.25,52.8,427458,22419094.1,03-MAY-2021,1605,INE242C01024,
ANDHRACEMT,EQ,5.35,5.35,5.2,5.3,5.3,5.35,141917,754109.7,03-MAY-2021,553,INE666E01012,
ANDHRAPAP,EQ,212.25,215.5,212,212.85,213.5,211.85,11340,2416273.05,03-MAY-2021,323,INE435A01028,
ANDHRSUGAR,EQ,392,458,390.25,445.55,444.2,386.1,1774969,765964615.9,03-MAY-2021,43818,INE715B01013,
ANGELBRKG,EQ,371,383.75,371,380.95,379.4,370.3,493969,186196544,03-MAY-2021,10115,INE732I01013,
ANIKINDS,EQ,14.15,14.55,13.75,14.25,14.15,14.5,19670,279077.9,03-MAY-2021,91,INE087B01017,
ANKITMETAL,EQ,0.95,1,0.95,0.95,1,1,61773,60515.9,03-MAY-2021,62,INE106I01010,
ANSALAPI,EQ,5.95,6,5.8,5.9,5.9,5.9,59841,354427.8,03-MAY-2021,90,INE436A01026,
ANSALHSG,EQ,5,5.15,5,5.15,5.15,5,13194,66668.45,03-MAY-2021,55,INE880B01015,
ANTGRAPHIC,BE,0.5,0.5,0.45,0.5,0.5,0.5,97610,47478.25,03-MAY-2021,41,INE414B01021,
ANUP,EQ,575,592,563.05,589.35,585,577.45,19224,11102295,03-MAY-2021,1625,INE294Z01018,
ANURAS,EQ,624.4,641.5,612,629.55,633.05,624.25,396478,246918616.8,03-MAY-2021,14975,INE930P01018,
APARINDS,EQ,494.75,524.5,494,506.2,513,494.75,112421,57202917.1,03-MAY-2021,7622,INE372A01015,
APCL,EQ,211.1,216.4,208.05,214.65,215,211.35,35806,7620752.25,03-MAY-2021,876,INE071F01012,
APCOTEXIND,EQ,232,239.8,230,236.15,237.65,232.8,219094,51654979.85,03-MAY-2021,6937,INE116A01032,
APEX,EQ,214.95,215,211.05,213.85,214.5,214.35,36771,7840337.15,03-MAY-2021,1171,INE346W01013,
APLAPOLLO,EQ,1305,1372.2,1305,1356,1345,1302.25,278355,371611392.4,03-MAY-2021,13816,INE702C01027,
APLLTD,EQ,988,999.3,975.3,983.6,985,985.7,243667,240283653,03-MAY-2021,12870,INE901L01018,
APOLLO,EQ,103,106,100,102.8,103,102.8,282392,29348676.2,03-MAY-2021,7596,INE713T01010,
APOLLOHOSP,EQ,3208.8,3221.8,3140,3204.3,3201,3197.5,728281,2314999424.95,03-MAY-2021,35589,INE437A01024,
APOLLOPIPE,EQ,1160,1197,1145,1183.85,1185,1166.05,29328,34754175.95,03-MAY-2021,2674,INE126J01016,
APOLLOTYRE,EQ,213,223.75,212.5,221.3,221.95,216.35,9482232,2088634849.05,03-MAY-2021,55062,INE438A01022,
APOLSINHOT,EQ,560.5,584.95,556,575.55,579,562.5,920,525051.05,03-MAY-2021,66,INE451F01024,
APTECHT,EQ,203,204.25,200.65,201.1,201.1,204,110476,22304527.95,03-MAY-2021,3164,INE266F01018,
ARCHIDPLY,EQ,33.9,35.05,32.1,34.25,33.65,33.4,79274,2716066.7,03-MAY-2021,883,INE877I01016,
ARCHIES,EQ,11.3,11.3,10.85,10.95,10.95,11,50050,553156.1,03-MAY-2021,240,INE731A01020,
ARCOTECH,BZ,1.55,1.55,1.55,1.55,1.55,1.6,31114,48226.7,03-MAY-2021,29,INE574I01035,
ARENTERP,EQ,12.15,12.15,11.2,11.55,11.55,11.6,3343,39466.9,03-MAY-2021,25,INE610C01014,
ARIES,EQ,91.2,97.9,86.4,96.1,96.2,89.85,251619,23753783.85,03-MAY-2021,4212,INE298I01015,
ARIHANT,EQ,18,18,17,17.2,17.6,17.85,2630,45333.1,03-MAY-2021,37,INE413D01011,
ARIHANTSUP,BE,61.95,63.1,58.85,61,61,61.9,17807,1059696.5,03-MAY-2021,102,INE643K01018,
ARMANFIN,EQ,554.2,576.1,540,551.45,551.75,552.4,9324,5167642.05,03-MAY-2021,862,INE109C01017,
AROGRANITE,EQ,45.85,45.85,41.85,43,43.45,44.4,20341,877307.45,03-MAY-2021,269,INE210C01013,
ARROWGREEN,EQ,76.5,76.5,73.25,74,74.8,73.5,3994,297295.9,03-MAY-2021,225,INE570D01018,
ARSHIYA,EQ,31.8,31.8,30,30,30,31.55,67433,2027773.35,03-MAY-2021,332,INE968D01022,
ARSSINFRA,EQ,25.65,25.8,24.85,25.45,25.4,25.3,9855,251329.55,03-MAY-2021,93,INE267I01010,
ARTEMISMED,EQ,189.05,207.9,189.05,203.75,205.2,190.9,49296,9915033.05,03-MAY-2021,878,INE025R01013,
ARVEE,BE,146.35,146.35,146.35,146.35,146.35,139.4,83,12147.05,03-MAY-2021,7,INE006Z01016,
ARVIND,EQ,65,71.45,63.6,70.35,71.25,65.8,2301769,159047587,03-MAY-2021,13184,INE034A01011,
ARVINDFASN,EQ,131.4,138,128,136.1,136,130.35,257282,34629555.75,03-MAY-2021,3804,INE955V01021,
ARVSMART,EQ,95.35,96.25,93.8,94.3,94,95.65,132692,12586875.1,03-MAY-2021,1772,INE034S01021,
ASAHIINDIA,EQ,294,304.95,290.35,301.35,303,293.8,53502,15912332.55,03-MAY-2021,1850,INE439A01020,
ASAHISONG,EQ,338.95,358,335.25,353.5,354.5,339.95,27022,9464517,03-MAY-2021,935,INE228I01012,
ASAL,EQ,32.25,33.4,31.8,33.35,33.4,31.85,19951,656902.1,03-MAY-2021,278,INE900C01027,
ASALCBR,EQ,412,420,403.35,413.1,417.5,412,47908,19577908.4,03-MAY-2021,2671,INE073G01016,
ASHAPURMIN,EQ,157,169.9,151,166.55,166,154.4,795517,131638498.45,03-MAY-2021,10227,INE348A01023,
ASHIANA,EQ,121.5,123.2,118.7,120.3,120.6,122.5,36819,4427681.6,03-MAY-2021,889,INE365D01021,
ASHIMASYN,EQ,15.3,16.15,15.3,15.55,15.5,15.75,120431,1914331.55,03-MAY-2021,181,INE440A01010,
ASHOKA,EQ,82.4,83.95,81.5,81.85,81.8,82.55,1252825,103204939.05,03-MAY-2021,8106,INE442H01029,
ASHOKLEY,EQ,109.7,112.45,108.3,111.85,111.95,112.7,19757520,2197745163.05,03-MAY-2021,69871,INE208A01029,
ASIANHOTNR,EQ,66.7,67.9,64.9,67.2,67.75,66,7385,494149.25,03-MAY-2021,130,INE363A01022,
ASIANPAINT,EQ,2510,2595.1,2505.6,2582.15,2590.5,2536.4,1034774,2647609978.2,03-MAY-2021,54041,INE021A01026,
ASIANTILES,EQ,155.1,158,154.25,154.8,155,155.75,98773,15397576.35,03-MAY-2021,2193,INE022I01019,
ASLIND,SM,20.1,20.1,20.1,20.1,20.1,19.2,4000,80400,03-MAY-2021,1,INE617I01024,
ASPINWALL,EQ,182.5,182.5,172.4,179.5,181.85,172.3,2437,432060.1,03-MAY-2021,69,INE991I01015,
ASTEC,EQ,1123,1128.95,1060,1073.45,1075,1156.65,69189,75191596.45,03-MAY-2021,6630,INE563J01010,
ASTERDM,EQ,146,149.85,143.7,145.85,145.5,143.05,446335,65438552.95,03-MAY-2021,5730,INE914M01019,
ASTRAL,EQ,1579.15,1614,1557.7,1592.8,1604,1579.15,221258,350975036.7,03-MAY-2021,23270,INE006I01046,
ASTRAMICRO,EQ,115,119.45,114.5,117.8,117.75,115.55,180817,21293511.75,03-MAY-2021,2588,INE386C01029,
ASTRAZEN,EQ,3910,3960,3850,3905.65,3897,3907.95,57724,225471982.6,03-MAY-2021,8295,INE203A01020,
ASTRON,EQ,39.4,40.05,38.9,39.4,39.7,40.2,26547,1044910.9,03-MAY-2021,475,INE646X01014,
ATFL,EQ,843,900,835.6,888.65,889.8,841.9,136030,117195620.45,03-MAY-2021,3874,INE209A01019,
ATGL,EQ,1135,1253,1120.2,1237.2,1240,1150.75,1994587,2418111087.7,03-MAY-2021,61617,INE399L01023,
ATLANTA,EQ,8,8,7.35,7.75,7.75,7.55,18607,144708.9,03-MAY-2021,113,INE285H01022,
ATLASCYCLE,BZ,25.15,27.5,25.15,27.45,27.45,26.2,6739,182594.9,03-MAY-2021,58,INE446A01025,
ATUL,EQ,8000,8244.95,7950.2,8141.85,8111,8088.7,20784,169294141.5,03-MAY-2021,4706,INE100A01010,
ATULAUTO,EQ,180,180,174.05,176.05,175.1,183,130002,23016705.35,03-MAY-2021,3542,INE951D01028,
AUBANK,EQ,949,950,914.25,924.05,924.6,1004.3,6959261,6466132839.1,03-MAY-2021,170359,INE949L01017,
AURIONPRO,EQ,170.9,175,167.25,169.55,169.35,171.05,52870,9052430.8,03-MAY-2021,1514,INE132H01018,
AUROPHARMA,EQ,979.7,986.25,965.5,968.75,968.7,980.85,1415097,1376142057.75,03-MAY-2021,42365,INE406A01037,
AUSOMENT,EQ,62.9,62.9,60.05,60.95,60.05,62.55,6078,374616.25,03-MAY-2021,145,INE218C01016,
AUTOAXLES,EQ,960.9,972.85,956,965.45,967.9,987.55,9687,9342031.25,03-MAY-2021,1151,INE449A01011,
AUTOIND,EQ,35.9,35.9,34.3,34.65,34.5,35.3,8795,306252.25,03-MAY-2021,129,INE718H01014,
AUTOLITIND,BZ,22.8,22.8,22.8,22.8,22.8,23.95,1921,43798.8,03-MAY-2021,15,INE448A01013,
AVADHSUGAR,EQ,283.1,338.8,283.1,335.45,336.6,282.35,1393351,444969418.35,03-MAY-2021,26407,INE349W01017,
AVANTIFEED,EQ,488,488,477.3,479.5,480.5,486.8,187745,90325123.4,03-MAY-2021,7186,INE871C01038,
AVG,SM,44.05,48.65,44.05,48.65,48.65,46.35,3600,164100,03-MAY-2021,3,INE680Z01018,
AVTNPL,EQ,47.5,51.35,47.05,50,50.25,47.5,438174,21821829.15,03-MAY-2021,3774,INE488D01021,
AWHCL,EQ,295,304.85,287.3,293.65,290,296.65,121320,36154202.05,03-MAY-2021,5308,INE01BK01022,
AXISBANK,EQ,706,708,692.1,702.75,703.5,714.9,13752878,9637618692.65,03-MAY-2021,177816,INE238A01034,
AXISBNKETF,EQ,322.08,326.43,318.98,326.43,326.43,328.95,930,300447.83,03-MAY-2021,58,INF846K01X63,
AXISCADES,EQ,60,62.9,58.55,59.15,59.8,60.3,189880,11447380.75,03-MAY-2021,2605,INE555B01013,
AXISGOLD,EQ,40.8,40.98,40.61,40.73,40.77,40.61,159538,6510816.55,03-MAY-2021,1742,INF846K01W80,
AXISNIFTY,EQ,150.15,152.48,148.9,151.3,151.2,152.09,4297,648863.91,03-MAY-2021,167,INF846K01W98,
AXISTECETF,EQ,259,261.98,250.95,257,257,258.87,266,68369.96,03-MAY-2021,33,INF846K01Y96,
AYMSYNTEX,EQ,47.85,49.15,47.35,49.15,49.15,46.85,86617,4206721.4,03-MAY-2021,335,INE193B01039,
BAFNAPH,EQ,125.5,132.95,124.3,127.05,128.4,130.8,12634,1605757.45,03-MAY-2021,674,INE878I01022,
BAGFILMS,EQ,2.75,2.75,2.6,2.75,2.75,2.65,204442,559001.45,03-MAY-2021,219,INE116D01028,
BAJAJ-AUTO,EQ,3815,3906.8,3785,3851.85,3858.8,3833.75,796444,3081154726.95,03-MAY-2021,50673,INE917I01010,
BAJAJCON,EQ,280.85,283.1,275.05,279.9,278.7,280.45,582245,162783411.85,03-MAY-2021,15561,INE933K01021,
BAJAJELEC,EQ,1147,1200,1131.3,1192.35,1185,1151,103073,121134707.1,03-MAY-2021,7220,INE193E01025,
BAJAJFINSV,EQ,10901,11110.85,10814.15,11041.7,11030,11041.65,396931,4349810375.1,03-MAY-2021,43658,INE918I01018,
BAJAJHIND,EQ,7.2,8.7,7.1,8.7,8.7,7.25,47863640,391231230.95,03-MAY-2021,21227,INE306A01021,
BAJAJHLDNG,EQ,3430,3468,3341.35,3429.15,3417.1,3421.2,32657,111402198.05,03-MAY-2021,6089,INE118A01012,
BAJFINANCE,EQ,5316.3,5580,5291.25,5551.15,5546,5451.9,4033591,21986892333.55,03-MAY-2021,217761,INE296A01024,
BALAJITELE,EQ,56.9,60.9,56.1,58.5,58.25,56.95,633353,37031087.9,03-MAY-2021,5349,INE794B01026,
BALAMINES,EQ,2595,2655,2556.15,2600.8,2593.2,2590.05,241548,630741770.75,03-MAY-2021,19318,INE050E01027,
BALAXI,EQ,586.15,587.75,572.55,586.05,587,584.75,1153,671020.15,03-MAY-2021,152,INE618N01014,
BALKRISHNA,EQ,19.9,20,18.65,19.9,19.9,19.4,5692,111362.1,03-MAY-2021,58,INE875R01011,
BALKRISIND,EQ,1751,1794.95,1742.2,1783.4,1785,1769.95,243784,432495113.1,03-MAY-2021,12920,INE787D01026,
BALLARPUR,BZ,1.1,1.15,1.05,1.15,1.1,1.1,687526,761804.35,03-MAY-2021,255,INE294A01037,
BALMLAWRIE,EQ,127.05,129.55,125.8,126.5,126.1,128.05,373689,47530272.65,03-MAY-2021,5074,INE164A01016,
BALPHARMA,EQ,103.5,117,101,116.45,117,106.4,964257,106962282.8,03-MAY-2021,10974,INE083D01012,
BALRAMCHIN,EQ,278.55,328.9,276.4,324.05,320.15,279.25,19906337,6112584566.8,03-MAY-2021,207117,INE119A01028,
BANARBEADS,EQ,49.25,50.35,48.5,49.5,50.25,49.3,1692,83465,03-MAY-2021,38,INE655B01011,
BANARISUG,EQ,1785,2029.95,1710,1942.85,1932,1751.7,33182,64504996.7,03-MAY-2021,3467,INE459A01010,
BANCOINDIA,EQ,154.1,159,151,154.95,156.25,155.4,101514,15829180.35,03-MAY-2021,3486,INE213C01025,
BANDHANBNK,EQ,324.9,330,314.4,318.85,318.95,329.75,13743805,4382726683.45,03-MAY-2021,120032,INE545U01014,
BANG,EQ,26.9,28,25.45,27.7,27.75,27.5,7728,208981.65,03-MAY-2021,144,INE863I01016,
BANKA,EQ,63.35,63.35,62.25,62.35,62.85,63.35,2070,129847,03-MAY-2021,45,INE862Y01015,
BANKBARODA,EQ,65.95,66.95,64.35,66.65,66.7,66.75,44344732,2921839761.2,03-MAY-2021,76778,INE028A01039,
BANKBEES,EQ,326.4,327.46,320.2,326.32,326.96,328.47,1472465,476833148.65,03-MAY-2021,18538,INF204KB15I9,
BANKINDIA,EQ,65,66.35,64.6,65.55,65.5,66.35,3219945,210780213.8,03-MAY-2021,11255,INE084A01016,
BANSWRAS,EQ,103.9,109.95,99.05,106.5,106,103.9,30021,3192165.55,03-MAY-2021,441,INE629D01012,
BARBEQUE,EQ,618,631,609.7,611.6,610.2,622.9,120156,74618481.75,03-MAY-2021,6984,INE382M01027,
BARTRONICS,BZ,2.1,2.3,2.1,2.25,2.3,2.2,89644,194629.45,03-MAY-2021,66,INE855F01034,
BASF,EQ,2247.8,2340.5,2211.1,2282.9,2286.9,2228.75,109278,250079808.9,03-MAY-2021,10874,INE373A01013,
BASML,EQ,61.5,62,60.3,61,61,61.05,30612,1868999,03-MAY-2021,277,INE186H01022,
BATAINDIA,EQ,1360,1364.3,1340,1348.1,1347,1369.55,266065,358698269.95,03-MAY-2021,12064,INE176A01028,
BAYERCROP,EQ,5310.1,5368.75,5263.05,5279.1,5267,5346.85,11541,61251254.35,03-MAY-2021,3242,INE462A01022,
BBL,EQ,1150,1170,1123.6,1154.6,1147.45,1163.45,10423,12028529.35,03-MAY-2021,962,INE464A01028,
BBTC,EQ,1162.95,1188,1144.95,1175.2,1175,1161,41285,48199275.35,03-MAY-2021,3407,INE050A01025,
BCG,EQ,7.6,7.65,7.5,7.55,7.6,7.65,3023054,22831210,03-MAY-2021,1767,INE425B01027,
BCLIND,EQ,121.35,128.95,120.05,125.55,126,121.35,175196,21999499.75,03-MAY-2021,1986,INE412G01016,
BCP,EQ,3.2,3.2,3,3.2,3.2,3.15,482312,1477467,03-MAY-2021,463,INE905P01028,
